confident,lead,flagship_line,alias_terms,code,score,runner_up,reasons,keys
true,ciroc,CIROC SNAP FROST,ciroc snap frost,9762,60,CIROC PASSION (50),sizes:6,ciroc|ciroc snap|ciroc coconut|ciroc peach|ciroc pineapple|ciroc apple|ciroc vs|ciroc summer|ciroc passion|ciroc honey|ciroc variety|ciroc limonata|ciroc riviera|ciroc red|ciroc rb
true,citadelle,CITADELLE GIN ORIGINAL,citadelle gin original,581,30,CITADELLE GIN JARDIN D ETE (20),sizes:3,citadelle
true,citronge,CITRONGE ORANGE LIQUEUR,citronge orange liqueur,25220,4,,sizes:2|flavors:2,citronge|citronge orange
true,clan,CLAN MAC GREGOR,clan mac gregor,16487,30,,sizes:3,clan|clan mac
true,clase,CLASE AZUL REPOSADO,clase azul reposado,13300,30,CLASE AZUL GOLD (10),sizes:3,clase|clase azul|clase 1111
true,claude,CLAUDE CHATELIER VSOP,claude chatelier vsop,27090,12,CLAUDE CHATELIER VS (2),sizes:2|flavors:1,claude|claude chatelier
true,clermont,CLERMONT STEEP AM SNGL MLT WSK,clermont steep am sngl mlt,31684,10,,sizes:1,clermont|clermont steep
true,cliff,CLIFF FALLS KY STRAIGHT BBN,cliff falls ky straight bbn,30781,10,,sizes:1,cliff|cliff falls
true,climax,CLIMAX MOONSHINE TIM SMITH S,climax moonshine tim smith,16251,10,CLIMAX MOONSHINE FIRE NO 32 (2),sizes:1,climax|climax moonshine|climax honey
true,clix,CLIX VODKA,clix vodka,32039,10,,sizes:1,clix
true,clontarf,CLONTARF CLASSIC BLEND WHISKY,clontarf classic blend whisky,34842,10,,sizes:1,clontarf|clontarf classic
true,club,CLUB HOUSE GIN,club house gin,36346,10,CLUB CARIBE MANGO RUM (2),sizes:1,club|club caribe|club house|club long
true,clyde,CLYDE MAY S STRAIGHT BBN,clyde may straight bbn,14275,20,CLYDE MAY S WHISKEY (10),sizes:2,clyde|clyde may
true,clynelish,CLYNELISH,clynelish,1994,10,CLYNELISH 18 YR SR F26 (0),sizes:1,clynelish|clynelish 18
true,cockspur,COCKSPUR 130 OVERPROOF RUM,cockspur 130 overproof rum,36034,30,COCKSPUR FIVE STAR FINE RUM (20),sizes:3,cockspur|cockspur vspr|cockspur 130|cockspur balla|cockspur five|cockspur old|cockspur platinum|cockspur spiced|cockspur splash|cockspur vsor|cockspur xo
true,cocktail,COCKTAIL COLLECTION VARIETY 6PK,cocktail collection variety 6pk,100112,-10,,sizes:1|variety,cocktail|cocktail collection
true,cointreau,COINTREAU LIQ FR,cointreau liq fr,63917,50,COINTREAU SPRITZ ORNGE BLOOD (2),sizes:5,cointreau|cointreau liq|cointreau noir|cointreau spritz
true,col,COL BLEU VODKA,col bleu vodka,33288,10,,sizes:1,col|col bleu
true,collective,COLLECTIVE ARTS ARTISANAL DRY GIN,collective arts artisanal dry gin,100897,10,COLLECTIVE ARTS GIN ORG COFFEE (2),sizes:1,collective|collective arts
true,columbia,COLUMBIA CREEK TENN WSKY,columbia creek tenn wsky,100647,10,,sizes:1,columbia|columbia creek
true,combier,COMBIER LIQUEUR D ORANGE,combier liqueur orange,36230,42,COMBIER WATERMELON PASTEQUE (12),sizes:5|flavors:1,combier|combier pamplemousse|combier abricot|combier peche|combier kummel|combier rose|combier watermelon|combier banana|combier coconut|combier lychee|combier mango|combier passionfruit|combier pineapple|combier strawberry|combier violet|combier cassis|combier le|combier rouge|combier chestnut|combier espresso|combier ginger|combier vanilla|combier guignolet|combier botanical|combier framboise|combier mure
true,commander,COMMANDER S CLUB KY STRT BBN WSKY,commander club ky strt bbn,100699,10,,sizes:1,commander
true,concannon,CONCANNON IRISH WHISKEY,concannon irish whiskey,8506,10,,sizes:1,concannon|concannon irish
true,condesa,CONDESA CLASSICA,condesa classica,100385,10,CONDESA PRICKLY PEAR ORANGE BLOSSOM (2),sizes:1,condesa|condesa prickly|condesa classica
true,congress,CONGRESS VODKA,congress vodka,221,20,,sizes:2,congress
true,connemara,CONNEMARA IRISH,connemara irish,84360,10,,sizes:1,connemara|connemara irish
